filename,hh,mm,ss,style,cx,cy,used_hough,hough_radius,dial_source,simple_fallback,frac_mask_beyond_dial,hand_length_scale,hand_r,w,h
analog_00_00_00_vue.png,0,0,0,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_00_00_01_vue.png,0,0,1,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_00_05_59_vue.png,0,5,59,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_00_07_59_vue.png,0,7,59,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_00_11_47_vue.png,0,11,47,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_00_19_18_vue.png,0,19,18,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_00_22_19_vue.png,0,22,19,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_00_31_54_vue.png,0,31,54,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_00_33_59_vue.png,0,33,59,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_00_39_09_vue.png,0,39,9,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_00_46_56_vue.png,0,46,56,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_00_48_51_vue.png,0,48,51,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_00_54_26_vue.png,0,54,26,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_00_57_48_vue.png,0,57,48,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_00_00_vue.png,1,0,0,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_00_21_vue.png,1,0,21,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_01_01_vue.png,1,1,1,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_03_37_vue.png,1,3,37,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_05_05_vue.png,1,5,5,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_05_40_vue.png,1,5,40,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_06_38_vue.png,1,6,38,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_14_52_vue.png,1,14,52,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_19_23_vue.png,1,19,23,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_35_15_vue.png,1,35,15,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_43_41_vue.png,1,43,41,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_45_27_vue.png,1,45,27,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_46_29_vue.png,1,46,29,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_47_20_vue.png,1,47,20,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_48_01_vue.png,1,48,1,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_51_20_vue.png,1,51,20,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_54_30_vue.png,1,54,30,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_55_21_vue.png,1,55,21,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_01_57_22_vue.png,1,57,22,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_02_00_00_vue.png,2,0,0,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_02_00_29_vue.png,2,0,29,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_02_05_46_vue.png,2,5,46,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_02_08_09_vue.png,2,8,9,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_02_10_10_vue.png,2,10,10,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_02_13_14_vue.png,2,13,14,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_02_13_42_vue.png,2,13,42,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_02_17_56_vue.png,2,17,56,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_02_18_32_vue.png,2,18,32,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_02_26_26_vue.png,2,26,26,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_02_26_42_vue.png,2,26,42,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
analog_02_28_51_vue.png,2,28,51,vue,200,200,True,154.95999145507812,hough,,0.0,0.65,109.2,400,400
